,from_funder_name,to_project_name,amount,funding_date,grant_pool_name,metadata
69,clrfund,,28.561428842164535,07/18/2023,round_9,"{""project_name"": ""NFT Wallet Tracker"", ""project_url"": ""https://dune.com/jacekt/nft-moolah-manager-track-your-nft-profits-and-losses"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
70,clrfund,,26.35774585993156,07/18/2023,round_9,"{""project_name"": ""Citizen Wallet"", ""project_url"": ""https://citizenwallet.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
71,clrfund,,22.09444531467121,07/18/2023,round_9,"{""project_name"": ""ENSRedirect"", ""project_url"": ""https://ensredirect.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
72,clrfund,,20.35043399795956,07/18/2023,round_9,"{""project_name"": ""WhatsABI"", ""project_url"": ""https://github.com/shazow/whatsabi"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
73,clrfund,,15.847182501820868,07/18/2023,round_9,"{""project_name"": ""Atlantis"", ""project_url"": ""https://www.atlantians.world/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
74,clrfund,,5.922425752516828,07/18/2023,round_9,"{""project_name"": ""Prettier Solidity"", ""project_url"": ""https://github.com/prettier-solidity/prettier-plugin-solidity"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
75,clrfund,,2.99209,07/18/2023,round_9,"{""project_name"": ""La Dream Machine"", ""project_url"": ""https://ladreammachine.substack.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
76,clrfund,,1.99809,07/18/2023,round_9,"{""project_name"": ""JobStash"", ""project_url"": ""https://jobstash.xyz/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
77,clrfund,,,07/18/2023,round_9,"{""project_name"": ""ETH PACIFICO"", ""project_url"": ""https://github.com/ethcali"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
78,clrfund,,,07/18/2023,round_9,"{""project_name"": ""Candide Labs"", ""project_url"": ""https://github.com/candidelabs/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
79,clrfund,,,07/18/2023,round_9,"{""project_name"": ""Women Biz"", ""project_url"": ""https://hiwomenbiz.com/"", ""funder_address"": ""0x806F08B7DD31fE0267e8c70C4bF8C4BfbBddE760"", ""funding_currency"": ""DAI"", ""funding_network"": ""Arbitrum""}"
